date,portfolio,strat_only,gld_only,tecl_bh
2024-04-02,5187525.8816987295,17130459.98445338,239974.96586253893,24147906.363336742
2024-04-03,5225915.882992381,17244015.01161662,242080.10923987167,24307978.8987802
2024-04-04,5056808.907696396,16427237.441365834,240691.85252617116,23156610.616551377
2024-04-05,5193412.470446134,16966664.751657464,244811.10605370865,23917012.858556
2024-04-08,5193423.482530015,16905501.74526573,246335.912608101,23830794.592812512
2024-04-09,5248830.327332628,17137008.98704982,247690.0318616285,24157138.147049244
2024-04-10,5112921.054483878,16529893.057065008,245345.9262630851,23301318.826244757
2024-04-11,5331604.640025999,17466774.657075472,250113.7915339089,24621991.42762953
2024-04-12,5148380.86173613,16654370.884987308,246802.45789713148,23476788.658094414
2024-04-15,4998088.7544358745,15693445.08972992,251422.39417387245,22122222.222222332
2024-04-16,5007678.270487543,15730587.290169721,251729.63131542917,22174579.62413463
2024-04-17,4864991.493504972,15068857.356389612,249874.8293126982,21241773.82129915
2024-04-18,4768352.4494629465,14535979.048694424,250728.26581702224,20490603.363007028
2024-04-19,4596266.30936734,13616569.252039457,251513.42740100037,19194559.841740947
2024-04-22,4615641.02989671,13965981.929854423,245300.40964952108,19687108.473458722
2024-04-23,4726925.63540722,14564373.65280898,244697.31451979876,20530629.73953192
2024-04-24,4764441.012533167,14776210.497508772,244242.14838415926,20829244.97197505
2024-04-25,4755883.360611762,14673578.27110459,245698.68001820566,20684569.73293779
2024-04-26,4854355.148377446,15149667.370570662,246495.2207555748,21355687.438180126
2024-04-29,4885591.431710989,15330934.40672208,245994.53800637135,21611210.02307957
2024-04-30,4652295.515558887,14324142.203994635,241090.12289485568,20191988.130563904
2024-05-01,4586760.483310789,13898293.310161239,243274.9203459253,19591691.394658856
2024-05-02,4692238.366810971,14472664.227163859,242523.89622212006,20401351.796900865
2024-05-03,4768878.970450501,14875861.55222245,242330.45061447332,22079129.57467865
2024-05-06,4822592.675804865,15050662.207701636,244879.38097405454,22848763.60039577
2024-05-07,4804289.249908027,15001454.432335697,243752.8447883468,22620936.366633818
2024-05-08,4806965.0236029755,15044042.661136387,243035.95812471455,22824134.52027708
2024-05-09,4835952.1103667,15039639.547016583,246870.73281747743,22771810.089020897
2024-05-10,4880302.864598328,15188061.125446288,248873.4638142913,22996538.081107944
